id,ativo,usado,data_ativacao,data_entrada;;id;ativo;usado;data ativação;data entrada;;;;;;bilhetes não usados;
"EVT-0YGJJ8JW,TRUE,FALSE,""14/05/2026, 17:42:18"",";;EVT-0YGJJ8JW;TRUE,;FALSE,;14/05/2026, 17:42:18;;13;18;24;47;;EVT-0YGJJ8JW;0
EVT-13QSPAI8,FALSE,FALSE,,;;EVT-13QSPAI8;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-15HZWZ70,TRUE,TRUE,""15/05/2026, 11:52:19"",""16/05/2026, 13:37:21""";;EVT-15HZWZ70;TRUE,;TRUE,;15/05/2026, 11:52:19;16/05/2026, 13:37:21;13;18;23;46;;;0
EVT-161UKE3B,FALSE,FALSE,,;;EVT-161UKE3B;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-1CC7AMS7,TRUE,TRUE,""14/05/2026, 17:47:53"",""16/05/2026, 20:04:46""";;EVT-1CC7AMS7;TRUE,;TRUE,;14/05/2026, 17:47:53;16/05/2026, 20:04:46;13;18;23;46;;;0
"EVT-1DJKJE4A,TRUE,TRUE,""17/05/2026, 12:57:57"",""17/05/2026, 12:58:58""";;EVT-1DJKJE4A;TRUE,;TRUE,;17/05/2026, 12:57:57;17/05/2026, 12:58:58;13;18;23;46;;;0
"EVT-1G42RH5J,TRUE,FALSE,""16/05/2026, 12:11:01"",";;EVT-1G42RH5J;TRUE,;FALSE,;16/05/2026, 12:11:01;;13;18;24;47;;EVT-1G42RH5J;0
"EVT-1I1M2A8D,TRUE,TRUE,""17/05/2026, 13:22:27"",""17/05/2026, 13:23:16""";;EVT-1I1M2A8D;TRUE,;TRUE,;17/05/2026, 13:22:27;17/05/2026, 13:23:16;13;18;23;46;;;0
EVT-1I3KZS7F,FALSE,FALSE,,;;EVT-1I3KZS7F;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-1I5WK59K,TRUE,TRUE,""14/05/2026, 11:52:56"",""16/05/2026, 14:21:35""";;EVT-1I5WK59K;TRUE,;TRUE,;14/05/2026, 11:52:56;16/05/2026, 14:21:35;13;18;23;46;;;0
"EVT-1JCTASSR,TRUE,FALSE,""16/05/2026, 12:12:37"",";;EVT-1JCTASSR;TRUE,;FALSE,;16/05/2026, 12:12:37;;13;18;24;47;;EVT-1JCTASSR;0
"EVT-1OJHTW73,TRUE,FALSE,""14/05/2026, 17:28:39"",";;EVT-1OJHTW73;TRUE,;FALSE,;14/05/2026, 17:28:39;;13;18;24;47;;EVT-1OJHTW73;0
"EVT-1OYXFSP4,TRUE,TRUE,""15/05/2026, 19:27:32"",""15/05/2026, 19:27:49""";;EVT-1OYXFSP4;TRUE,;TRUE,;15/05/2026, 19:27:32;15/05/2026, 19:27:49;13;18;23;46;;;0
"EVT-1QS3T2LM,TRUE,TRUE,""14/05/2026, 17:51:50"",""15/05/2026, 14:24:01""";;EVT-1QS3T2LM;TRUE,;TRUE,;14/05/2026, 17:51:50;15/05/2026, 14:24:01;13;18;23;46;;;0
EVT-1ZSFP406,FALSE,FALSE,,;;EVT-1ZSFP406;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-28MX3PQ9,FALSE,FALSE,,;;EVT-28MX3PQ9;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-2BWL76KN,TRUE,TRUE,""15/05/2026, 11:52:29"",""15/05/2026, 19:26:09""";;EVT-2BWL76KN;TRUE,;TRUE,;15/05/2026, 11:52:29;15/05/2026, 19:26:09;13;18;23;46;;;0
EVT-2DFLKSSA,FALSE,FALSE,,;;EVT-2DFLKSSA;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-2JVIZ2DN,FALSE,FALSE,,;;EVT-2JVIZ2DN;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-2KFWXV7Q,FALSE,FALSE,,;;EVT-2KFWXV7Q;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-2LBC6FJZ,FALSE,FALSE,,;;EVT-2LBC6FJZ;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-2MWQ3I8C,FALSE,FALSE,,;;EVT-2MWQ3I8C;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-2S3ZKSW2,TRUE,TRUE,""14/05/2026, 17:32:04"",""16/05/2026, 13:36:24""";;EVT-2S3ZKSW2;TRUE,;TRUE,;14/05/2026, 17:32:04;16/05/2026, 13:36:24;13;18;23;46;;;0
"EVT-2S48QSIN,TRUE,TRUE,""14/05/2026, 17:50:21"",""16/05/2026, 13:32:11""";;EVT-2S48QSIN;TRUE,;TRUE,;14/05/2026, 17:50:21;16/05/2026, 13:32:11;13;18;23;46;;;0
"EVT-2T5T67OI,TRUE,FALSE,""14/05/2026, 17:42:13"",";;EVT-2T5T67OI;TRUE,;FALSE,;14/05/2026, 17:42:13;;13;18;24;47;;EVT-2T5T67OI;0
"EVT-2UG28RGA,TRUE,FALSE,""14/05/2026, 17:47:50"",";;EVT-2UG28RGA;TRUE,;FALSE,;14/05/2026, 17:47:50;;13;18;24;47;;EVT-2UG28RGA;0
"EVT-2V6V0QG2,TRUE,TRUE,""17/05/2026, 12:58:05"",""17/05/2026, 12:58:53""";;EVT-2V6V0QG2;TRUE,;TRUE,;17/05/2026, 12:58:05;17/05/2026, 12:58:53;13;18;23;46;;;0
EVT-34I12GTG,FALSE,FALSE,,;;EVT-34I12GTG;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-35UWL0DJ,FALSE,FALSE,,;;EVT-35UWL0DJ;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-389R4WWH,TRUE,TRUE,""14/05/2026, 17:31:39"",""16/05/2026, 14:15:01""";;EVT-389R4WWH;TRUE,;TRUE,;14/05/2026, 17:31:39;16/05/2026, 14:15:01;13;18;23;46;;;0
EVT-3AC0PZTR,FALSE,FALSE,,;;EVT-3AC0PZTR;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-3BT01AE2,FALSE,FALSE,,;;EVT-3BT01AE2;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-3E2LAJG1,TRUE,TRUE,""14/05/2026, 11:52:50"",""16/05/2026, 13:12:28""";;EVT-3E2LAJG1;TRUE,;TRUE,;14/05/2026, 11:52:50;16/05/2026, 13:12:28;13;18;23;46;;;0
"EVT-3ETE1HLX,TRUE,FALSE,""16/05/2026, 12:12:32"",";;EVT-3ETE1HLX;TRUE,;FALSE,;16/05/2026, 12:12:32;;13;18;24;47;;EVT-3ETE1HLX;0
"EVT-3GA2A539,TRUE,FALSE,""14/05/2026, 17:28:33"",";;EVT-3GA2A539;TRUE,;FALSE,;14/05/2026, 17:28:33;;13;18;24;47;;EVT-3GA2A539;0
"EVT-3HTDSMH5,TRUE,TRUE,""15/05/2026, 11:52:35"",""15/05/2026, 19:26:04""";;EVT-3HTDSMH5;TRUE,;TRUE,;15/05/2026, 11:52:35;15/05/2026, 19:26:04;13;18;23;46;;;0
"EVT-3JQFHKMA,TRUE,FALSE,""14/05/2026, 17:51:46"",";;EVT-3JQFHKMA;TRUE,;FALSE,;14/05/2026, 17:51:46;;13;18;24;47;;EVT-3JQFHKMA;0
EVT-3JQM5R3X,FALSE,FALSE,,;;EVT-3JQM5R3X;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-3O76A1TA,TRUE,TRUE,""15/05/2026, 11:52:25"",""16/05/2026, 13:37:26""";;EVT-3O76A1TA;TRUE,;TRUE,;15/05/2026, 11:52:25;16/05/2026, 13:37:26;13;18;23;46;;;0
EVT-3YCYOHFA,FALSE,FALSE,,;;EVT-3YCYOHFA;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-40EJ46P5,FALSE,FALSE,,;;EVT-40EJ46P5;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-43NFL4G4,FALSE,FALSE,,;;EVT-43NFL4G4;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-46MDOUJB,TRUE,TRUE,""14/05/2026, 17:31:46"",""17/05/2026, 12:46:17""";;EVT-46MDOUJB;TRUE,;TRUE,;14/05/2026, 17:31:46;17/05/2026, 12:46:17;13;18;23;46;;;0
"EVT-48CN6CSP,TRUE,TRUE,""14/05/2026, 17:50:05"",""15/05/2026, 14:58:57""";;EVT-48CN6CSP;TRUE,;TRUE,;14/05/2026, 17:50:05;15/05/2026, 14:58:57;13;18;23;46;;;0
"EVT-48Q4TEA7,TRUE,TRUE,""14/05/2026, 17:39:54"",""15/05/2026, 15:00:36""";;EVT-48Q4TEA7;TRUE,;TRUE,;14/05/2026, 17:39:54;15/05/2026, 15:00:36;13;18;23;46;;;0
EVT-4FMX3RBI,FALSE,FALSE,,;;EVT-4FMX3RBI;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-4QORSRT2,FALSE,FALSE,,;;EVT-4QORSRT2;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-4SXDI6O8,FALSE,FALSE,,;;EVT-4SXDI6O8;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-4X7PIWWY,FALSE,FALSE,,;;EVT-4X7PIWWY;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-4XV08XAP,TRUE,TRUE,""14/05/2026, 17:32:00"",""16/05/2026, 13:36:50""";;EVT-4XV08XAP;TRUE,;TRUE,;14/05/2026, 17:32:00;16/05/2026, 13:36:50;13;18;23;46;;;0
"EVT-4ZGPRN1L,TRUE,TRUE,""14/05/2026, 17:50:17"",""16/05/2026, 13:41:45""";;EVT-4ZGPRN1L;TRUE,;TRUE,;14/05/2026, 17:50:17;16/05/2026, 13:41:45;13;18;23;46;;;0
"EVT-50X4OGAM,TRUE,TRUE,""14/05/2026, 17:47:34"",""17/05/2026, 12:49:24""";;EVT-50X4OGAM;TRUE,;TRUE,;14/05/2026, 17:47:34;17/05/2026, 12:49:24;13;18;23;46;;;0
"EVT-51AMT1SP,TRUE,TRUE,""17/05/2026, 12:57:54"",""17/05/2026, 12:59:03""";;EVT-51AMT1SP;TRUE,;TRUE,;17/05/2026, 12:57:54;17/05/2026, 12:59:03;13;18;23;46;;;0
"EVT-55WKJUSJ,TRUE,FALSE,""16/05/2026, 12:11:30"",";;EVT-55WKJUSJ;TRUE,;FALSE,;16/05/2026, 12:11:30;;13;18;24;47;;EVT-55WKJUSJ;0
"EVT-58JSM4TY,TRUE,TRUE,""16/05/2026, 14:05:29"",""16/05/2026, 14:09:52""";;EVT-58JSM4TY;TRUE,;TRUE,;16/05/2026, 14:05:29;16/05/2026, 14:09:52;13;18;23;46;;;0
"EVT-5E8P1ZGD,TRUE,FALSE,""14/05/2026, 17:42:10"",";;EVT-5E8P1ZGD;TRUE,;FALSE,;14/05/2026, 17:42:10;;13;18;24;47;;EVT-5E8P1ZGD;0
"EVT-5FH6C8PN,TRUE,FALSE,""14/05/2026, 17:47:47"",";;EVT-5FH6C8PN;TRUE,;FALSE,;14/05/2026, 17:47:47;;13;18;24;47;;EVT-5FH6C8PN;0
"EVT-5OV2XWQJ,TRUE,TRUE,""17/05/2026, 12:58:08"",""17/05/2026, 12:58:48""";;EVT-5OV2XWQJ;TRUE,;TRUE,;17/05/2026, 12:58:08;17/05/2026, 12:58:48;13;18;23;46;;;0
"EVT-5QQ52KWY,TRUE,FALSE,""16/05/2026, 12:11:13"",";;EVT-5QQ52KWY;TRUE,;FALSE,;16/05/2026, 12:11:13;;13;18;24;47;;EVT-5QQ52KWY;0
"EVT-5RVM8IOM,TRUE,TRUE,""16/05/2026, 14:07:04"",""16/05/2026, 14:09:11""";;EVT-5RVM8IOM;TRUE,;TRUE,;16/05/2026, 14:07:04;16/05/2026, 14:09:11;13;18;23;46;;;0
EVT-5TL1H09E,FALSE,FALSE,,;;EVT-5TL1H09E;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-5UAVD7MV,TRUE,TRUE,""14/05/2026, 11:52:45"",""16/05/2026, 13:28:13""";;EVT-5UAVD7MV;TRUE,;TRUE,;14/05/2026, 11:52:45;16/05/2026, 13:28:13;13;18;23;46;;;0
"EVT-5VYI97NV,TRUE,FALSE,""16/05/2026, 12:12:26"",";;EVT-5VYI97NV;TRUE,;FALSE,;16/05/2026, 12:12:26;;13;18;24;47;;EVT-5VYI97NV;0
"EVT-5XYALYRJ,TRUE,FALSE,""14/05/2026, 17:28:27"",";;EVT-5XYALYRJ;TRUE,;FALSE,;14/05/2026, 17:28:27;;13;18;24;47;;EVT-5XYALYRJ;0
EVT-60FP7ZMD,FALSE,FALSE,,;;EVT-60FP7ZMD;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-668ATMV2,TRUE,TRUE,""14/05/2026, 17:50:01"",""15/05/2026, 14:58:46""";;EVT-668ATMV2;TRUE,;TRUE,;14/05/2026, 17:50:01;15/05/2026, 14:58:46;13;18;23;46;;;0
"EVT-6DL2HBMV,TRUE,TRUE,""14/05/2026, 17:51:42"",""15/05/2026, 14:58:51""";;EVT-6DL2HBMV;TRUE,;TRUE,;14/05/2026, 17:51:42;15/05/2026, 14:58:51;13;18;23;46;;;0
EVT-6JUC5F6I,FALSE,FALSE,,;;EVT-6JUC5F6I;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-6M4L1BLB,TRUE,TRUE,""16/05/2026, 13:38:03"",""16/05/2026, 13:38:20""";;EVT-6M4L1BLB;TRUE,;TRUE,;16/05/2026, 13:38:03;16/05/2026, 13:38:20;13;18;23;46;;;0
EVT-6N2SW1OK,FALSE,FALSE,,;;EVT-6N2SW1OK;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-6U89SSSE,FALSE,FALSE,,;;EVT-6U89SSSE;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-6VJ8W45M,FALSE,FALSE,,;;EVT-6VJ8W45M;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-6YOEHI1D,FALSE,FALSE,,;;EVT-6YOEHI1D;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-7250IC17,TRUE,TRUE,""17/05/2026, 12:55:16"",""17/05/2026, 12:55:33""";;EVT-7250IC17;TRUE,;TRUE,;17/05/2026, 12:55:16;17/05/2026, 12:55:33;13;18;23;46;;;0
"EVT-76WORFGG,TRUE,TRUE,""15/05/2026, 15:17:53"",""15/05/2026, 15:23:56""";;EVT-76WORFGG;TRUE,;TRUE,;15/05/2026, 15:17:53;15/05/2026, 15:23:56;13;18;23;46;;;0
"EVT-79NT3GNW,TRUE,TRUE,""14/05/2026, 17:27:17"",""16/05/2026, 14:20:14""";;EVT-79NT3GNW;TRUE,;TRUE,;14/05/2026, 17:27:17;16/05/2026, 14:20:14;13;18;23;46;;;0
EVT-7CRRHXYU,FALSE,FALSE,,;;EVT-7CRRHXYU;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-7G3C9SJ0,TRUE,TRUE,""14/05/2026, 17:31:55"",""16/05/2026, 13:36:06""";;EVT-7G3C9SJ0;TRUE,;TRUE,;14/05/2026, 17:31:55;16/05/2026, 13:36:06;13;18;23;46;;;0
"EVT-7GE1DNKH,TRUE,TRUE,""14/05/2026, 17:50:13"",""16/05/2026, 13:41:37""";;EVT-7GE1DNKH;TRUE,;TRUE,;14/05/2026, 17:50:13;16/05/2026, 13:41:37;13;18;23;46;;;0
"EVT-7KV1ZJ56,TRUE,FALSE,""14/05/2026, 17:42:06"",";;EVT-7KV1ZJ56;TRUE,;FALSE,;14/05/2026, 17:42:06;;13;18;24;47;;EVT-7KV1ZJ56;0
"EVT-7LL6WCH8,TRUE,TRUE,""14/05/2026, 17:47:41"",""17/05/2026, 12:49:14""";;EVT-7LL6WCH8;TRUE,;TRUE,;14/05/2026, 17:47:41;17/05/2026, 12:49:14;13;18;23;46;;;0
"EVT-7OA8HKXP,TRUE,TRUE,""17/05/2026, 12:58:15"",""17/05/2026, 12:58:43""";;EVT-7OA8HKXP;TRUE,;TRUE,;17/05/2026, 12:58:15;17/05/2026, 12:58:43;13;18;23;46;;;0
"EVT-7ODQDEHP,TRUE,FALSE,""16/05/2026, 12:11:19"",";;EVT-7ODQDEHP;TRUE,;FALSE,;16/05/2026, 12:11:19;;13;18;24;47;;EVT-7ODQDEHP;0
"EVT-7OR8K3CA,TRUE,TRUE,""16/05/2026, 14:06:53"",""16/05/2026, 14:09:16""";;EVT-7OR8K3CA;TRUE,;TRUE,;16/05/2026, 14:06:53;16/05/2026, 14:09:16;13;18;23;46;;;0
EVT-7SJTEZLI,FALSE,FALSE,,;;EVT-7SJTEZLI;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-7TLA9FGN,TRUE,TRUE,""14/05/2026, 11:52:39"",""16/05/2026, 13:02:33""";;EVT-7TLA9FGN;TRUE,;TRUE,;14/05/2026, 11:52:39;16/05/2026, 13:02:33;13;18;23;46;;;0
"EVT-7WEBN8O1,TRUE,FALSE,""16/05/2026, 12:12:15"",";;EVT-7WEBN8O1;TRUE,;FALSE,;16/05/2026, 12:12:15;;13;18;24;47;;EVT-7WEBN8O1;0
"EVT-822S9SO3,TRUE,TRUE,""14/05/2026, 17:39:51"",""15/05/2026, 15:00:42""";;EVT-822S9SO3;TRUE,;TRUE,;14/05/2026, 17:39:51;15/05/2026, 15:00:42;13;18;23;46;;;0
EVT-83IA7J9I,FALSE,FALSE,,;;EVT-83IA7J9I;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-85ABCTY3,TRUE,FALSE,""14/05/2026, 17:51:31"",";;EVT-85ABCTY3;TRUE,;FALSE,;14/05/2026, 17:51:31;;13;18;24;47;;EVT-85ABCTY3;0
EVT-85WJ6G5G,FALSE,FALSE,,;;EVT-85WJ6G5G;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-87MMZKI4,TRUE,TRUE,""16/05/2026, 20:14:26"",""16/05/2026, 20:14:46""";;EVT-87MMZKI4;TRUE,;TRUE,;16/05/2026, 20:14:26;16/05/2026, 20:14:46;13;18;23;46;;;0
EVT-88IWUKN4,FALSE,FALSE,,;;EVT-88IWUKN4;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-8B7KAZL5,TRUE,FALSE,""14/05/2026, 17:28:22"",";;EVT-8B7KAZL5;TRUE,;FALSE,;14/05/2026, 17:28:22;;13;18;24;47;;EVT-8B7KAZL5;0
"EVT-8DNI4GIR,TRUE,TRUE,""15/05/2026, 19:33:47"",""15/05/2026, 19:34:00""";;EVT-8DNI4GIR;TRUE,;TRUE,;15/05/2026, 19:33:47;15/05/2026, 19:34:00;13;18;23;46;;;0
"EVT-8F04WU25,TRUE,TRUE,""14/05/2026, 17:51:38"",""15/05/2026, 14:59:59""";;EVT-8F04WU25;TRUE,;TRUE,;14/05/2026, 17:51:38;15/05/2026, 14:59:59;13;18;23;46;;;0
EVT-8HRVQW0U,FALSE,FALSE,,;;EVT-8HRVQW0U;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-8ISNZNKN,TRUE,TRUE,""15/05/2026, 11:52:22"",""16/05/2026, 13:36:30""";;EVT-8ISNZNKN;TRUE,;TRUE,;15/05/2026, 11:52:22;16/05/2026, 13:36:30;13;18;23;46;;;0
EVT-8IY6UKF1,FALSE,FALSE,,;;EVT-8IY6UKF1;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-8PORCPLT,FALSE,FALSE,,;;EVT-8PORCPLT;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-8PT8635W,FALSE,FALSE,,;;EVT-8PT8635W;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-8QQVEU2R,FALSE,FALSE,,;;EVT-8QQVEU2R;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-8U5Z6C1C,FALSE,FALSE,,;;EVT-8U5Z6C1C;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-8UCLRF0Z,TRUE,TRUE,""14/05/2026, 17:31:51"",""17/05/2026, 12:01:08""";;EVT-8UCLRF0Z;TRUE,;TRUE,;14/05/2026, 17:31:51;17/05/2026, 12:01:08;13;18;23;46;;;0
"EVT-8V39SKLZ,TRUE,TRUE,""14/05/2026, 17:50:08"",""16/05/2026, 13:45:54""";;EVT-8V39SKLZ;TRUE,;TRUE,;14/05/2026, 17:50:08;16/05/2026, 13:45:54;13;18;23;46;;;0
"EVT-8Y0Z31H5,TRUE,FALSE,""14/05/2026, 17:42:03"",";;EVT-8Y0Z31H5;TRUE,;FALSE,;14/05/2026, 17:42:03;;13;18;24;47;;EVT-8Y0Z31H5;0
"EVT-8ZI8LUYA,TRUE,TRUE,""14/05/2026, 17:47:38"",""17/05/2026, 12:47:31""";;EVT-8ZI8LUYA;TRUE,;TRUE,;14/05/2026, 17:47:38;17/05/2026, 12:47:31;13;18;23;46;;;0
"EVT-913R36M9,TRUE,TRUE,""14/05/2026, 17:47:30"",""17/05/2026, 12:48:41""";;EVT-913R36M9;TRUE,;TRUE,;14/05/2026, 17:47:30;17/05/2026, 12:48:41;13;18;23;46;;;0
EVT-92S4QJSN,FALSE,FALSE,,;;EVT-92S4QJSN;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-94HAYNA5,FALSE,FALSE,,;;EVT-94HAYNA5;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-96BX8B6Q,FALSE,FALSE,,;;EVT-96BX8B6Q;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-9AJ2V1BC,TRUE,TRUE,""17/05/2026, 12:57:41"",""17/05/2026, 12:59:14""";;EVT-9AJ2V1BC;TRUE,;TRUE,;17/05/2026, 12:57:41;17/05/2026, 12:59:14;13;18;23;46;;;0
"EVT-9CL2FBQH,TRUE,FALSE,""16/05/2026, 12:11:24"",";;EVT-9CL2FBQH;TRUE,;FALSE,;16/05/2026, 12:11:24;;13;18;24;47;;EVT-9CL2FBQH;0
"EVT-9F8DAIMP,TRUE,TRUE,""16/05/2026, 14:06:39"",""16/05/2026, 14:09:22""";;EVT-9F8DAIMP;TRUE,;TRUE,;16/05/2026, 14:06:39;16/05/2026, 14:09:22;13;18;23;46;;;0
EVT-9N3FE5Y1,FALSE,FALSE,,;;EVT-9N3FE5Y1;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-9P9GYN5U,TRUE,TRUE,""14/05/2026, 11:52:33"",""16/05/2026, 13:02:27""";;EVT-9P9GYN5U;TRUE,;TRUE,;14/05/2026, 11:52:33;16/05/2026, 13:02:27;13;18;23;46;;;0
"EVT-9UJC0E80,TRUE,TRUE,""15/05/2026, 15:17:59"",""15/05/2026, 15:24:02""";;EVT-9UJC0E80;TRUE,;TRUE,;15/05/2026, 15:17:59;15/05/2026, 15:24:02;13;18;23;46;;;0
"EVT-9US72DLH,TRUE,TRUE,""14/05/2026, 17:28:18"",""16/05/2026, 14:16:35""";;EVT-9US72DLH;TRUE,;TRUE,;14/05/2026, 17:28:18;16/05/2026, 14:16:35;13;18;23;46;;;0
EVT-9WC1FQH2,FALSE,FALSE,,;;EVT-9WC1FQH2;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-A17L32VD,TRUE,TRUE,""14/05/2026, 11:52:19"",""16/05/2026, 13:02:43""";;EVT-A17L32VD;TRUE,;TRUE,;14/05/2026, 11:52:19;16/05/2026, 13:02:43;13;18;23;46;;;0
